snapshot_time,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
1789595537,899017,CAL5663 ,Taiwan,1789595536,1789595536,94.3635,19.2265,10363.2,False,257.1,298.31,0,,11026.14,2630,False,0
1789595537,899013,CAL063  ,Taiwan,1789595536,1789595536,77.6578,29.8068,11582.4,False,226.69,313.62,0,,12214.86,2663,False,0
1789595537,06a3b7,QTR8954 ,Qatar,1789595297,1789595297,72.6376,23.9283,11887.2,False,250.12,94.01,0,,12618.72,,False,0
1789595537,06a376,QTR842  ,Qatar,1789595537,1789595537,80.9308,13.6395,11887.2,False,238.98,110.54,0,,12573,2127,False,0
1789595537,89912f,SJX101  ,Taiwan,1789595320,1789595321,83.6539,22.9968,10972.8,False,247.84,273.21,-0.33,,11635.74,2644,False,0
1789595537,06a2e9,QTR982  ,Qatar,1789595536,1789595536,89.3083,22.5536,11879.58,False,254.92,96.84,-0.33,,12611.1,0365,False,0
1789595537,06a2f9,QTR838  ,Qatar,1789595536,1789595536,94.9276,16.6258,11879.58,False,248.76,115.35,0,,12306.3,5635,False,0
1789595537,4ba9c8,THY62Y  ,Turkey,1789595536,1789595536,81.7511,27.1976,11887.2,False,254.14,112.62,0,,12573,,False,0
1789595537,06a2c7,QTR8M   ,Qatar,1789595537,1789595537,79.2593,6.9239,10363.2,False,263.79,305.39,0,,10949.94,,False,0
1789595537,8990e6,EVA071  ,Taiwan,1789595536,1789595536,80.2013,27.4124,9753.6,False,247.92,317.27,0,,10309.86,6247,False,0
1789595537,040261,ETH673  ,Ethiopia,1789595269,1789595269,83.6594,21.8755,12192,False,246.11,263.16,0,,12900.66,4102,False,0
1789595537,06a062,QTR807  ,Qatar,1789595536,1789595536,70.8906,22.8135,10363.2,False,253.7,264.65,0,,11018.52,,False,0
1789595537,a7a9a0,N593MA  ,United States,1789595527,1789595527,82.8051,33.1948,,True,2.57,151.88,,,,,False,0
1789595537,39cf0f,AFR198  ,France,1789595535,1789595536,80.2051,26.0034,11887.2,False,259.27,129.12,0,,12573,,False,0
1789595537,7c8064,QFA5    ,Australia,1789595536,1789595536,79.6582,14.3845,11582.4,False,255.53,346.02,0,,12268.2,1456,False,0
1789595537,80139b,AIC7FM  ,India,1789595537,1789595537,80.9832,26.3673,11277.6,False,237.62,114.29,0,,11940.54,,False,0
1789595537,406c39,VIR303  ,United Kingdom,1789595537,1789595537,72.4989,31.2924,10355.58,False,239.86,263.23,-0.33,,10919.46,,False,0
1789595537,801403,AXB135  ,India,1789595535,1789595535,77.0975,28.5624,,True,8.23,104.06,,,,,False,0
1789595537,801406,AIC112  ,India,1789595527,1789595530,74.2366,26.2944,11879.58,False,252.08,39.7,0,,12611.1,,False,0
1789595537,801454,IGO6129 ,India,1789595535,1789595536,74.6981,15.5698,11879.58,False,229.29,158.96,0.33,,12595.86,,False,0
1789595537,801435,AXB920  ,India,1789595536,1789595536,77.3302,13.2267,4960.62,False,186.36,100.66,-14.31,,5189.22,,False,0
1789595537,06a10b,QTR830  ,Qatar,1789595480,1789595480,81.1362,18.3509,12496.8,False,246.63,108.74,0,,13213.08,,False,0
1789595537,801530,FQA321  ,India,1789595536,1789595536,76.6379,28.0926,6995.16,False,193.63,204.32,2.28,,7338.06,,False,0
1789595537,06a12a,QTR859  ,Qatar,1789595536,1789595536,87.145,23.0006,10972.8,False,255.19,305.07,0,,11650.98,6302,False,0
1789595537,06a145,QTR837  ,Qatar,1789595537,1789595537,84.056,17.5653,12192,False,256.03,286.58,0,,12915.9,,False,0
1789595537,801548,AKJ506  ,India,1789595534,1789595534,75.5159,12.4592,11277.6,False,225.43,143.44,0,,11948.16,,False,0
